japanese_name,english_name,debut,affiliations,origin,age,birthday,blood_type,bounty,description,devil_fruit_name,avatar_src
凡ゴウ,Bongoh,Chapter 928; Episode 921,N/A,N/A,N/A,N/A,N/A,N/A,"Bongo is a former lumber dealer who currently lives in Ebisu Town in Wano Country. He formerly lived in the Flower Capital, but was exiled after being swindled by Komurasaki.",N/A,https://onepieceql.s3.amazonaws.com/Bongo_Anime.jpg
ブレンハイム,Blenheim,Chapter 553; Episode 461,Whitebeard Pirates,Grand Line,N/A,August 6th,N/A,N/A,Blenheim is the former 9th division commander of the Whitebeard Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Blenheim_Anime.jpg
ボンク・パンチ,Bonk Punch,Chapter 1; Episode 4,Red Hair Pirates,N/A,N/A,N/A,N/A,N/A,Bonk Punch is one of the Senior Officers and musicians of the Red Hair Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Bonk_Punch_Anime.jpg
ベルメール,Belle-Mère (VIZ Media); Bellemere (Funimation) Bell-mère (OPCG),Chapter 77; Episode 32,Marines (former),East Blue (Conomi Islands),N/A,December 3rd,S,N/A,"Bell-mère was a former Marine and the adoptive mother of Nami and Nojiko, introduced in a flashback during the Arlong Park Arc. She raised the two girls for approximately nine years until she was murdered by Arlong.",N/A,https://onepieceql.s3.amazonaws.com/Bell-m%C3%A8re_Anime.jpg
バジル・ホーキンス,Basil Hawkins,Chapter 498; Episode 392,Hawkins Pirates; Beasts Pirates,North Blue,29 (debut) 31 (after timeskip),September 9th,S,"320,000,000 249,000,000","Basil Hawkins is an infamous pirate from North Blue known as the ""Magician"" and the captain of the Hawkins Pirates. He is one of twelve pirates who are referred to as the ""Worst Generation"". His previous known bounty amounted to 249,000,000, but after the timeskip, it was raised to 320,000,000. After encountering Kaidou, he joined the Beasts Pirates and became one of the crew's Shinuchi.",Wara Wara no Mi,https://onepieceql.s3.amazonaws.com/Basil_Hawkins_Anime_Post_Timeskip.jpg
ステルス・ブラック,Stealth Black,Chapter 931 (mentioned); Episode 925,Germa 66 (fictional),N/A,N/A,N/A,N/A,N/A,"Stealth Black is a fictional member of Germa 66 portrayed in the comic strip Sora, Warrior of the Sea. His character was likely based on a Raid Suit created by the Vinsmoke Family that was later given to their estranged third son, Sanji.",N/A,https://onepieceql.s3.amazonaws.com/Stealth_Black_Anime.jpg
スクアード,Squard,Chapter 551; Episode 460,Maelstrom Spider Pirates; Whitebeard Pirates,Grand Line,50 (debut); 52 (after timeskip),September 6th,F,"210,000,000","""Maelstrom Spider"" Squard is an infamous New World pirate and the captain of the Maelstrom Spider Pirates. Squard and his crew were allies of the Whitebeard Pirates and participated in the Summit War of Marineford.",N/A,https://onepieceql.s3.amazonaws.com/Squard_Anime.jpg
ストーカー,Stalker,Chapter 524; Episode 421,Marines G-1 Branch,Grand Line,N/A,September 28th,N/A,N/A,Lieutenant Junior Grade Stalker is a Marine on Vice Admiral Momonga's ship.,N/A,https://onepieceql.s3.amazonaws.com/Stalker_Anime.jpg
"ギョロ, ニン, バオ","Gyoro, Nin, Bao",Chapter 449; Episode 343,Thriller Bark Pirates,N/A,N/A,N/A,N/A,N/A,"Gyoro, Nin, and Bao were a trio of oddly shaped Soldier Zombies that were first seen reporting to Moria about the Straw Hats' arrival.",N/A,https://onepieceql.s3.amazonaws.com/Gyoro%2C_Nin%2C_and_Bao_Anime.jpg
ステファン,Stephen,SBS Volume 58,Whitebeard Pirates,N/A,N/A,N/A,N/A,N/A,"Stefan is Whitebeard's dog. It is a character invented by Oda when a fan asked him in an SBS if Whitebeard's mustache could be used as a boomerang. Oda answered that Whitebeard probably did whenever he took his dog, Stefan, for a walk.",N/A,https://onepieceql.s3.amazonaws.com/Stefan_Manga.jpg
ブランニュー,Brandnew (FUNimation and Crunchyroll Simulcast; Formerly Viz); Brannew (Current Viz Manga),Chapter 96; Episode 45,Marines,Grand Line,54 (debut) 56 (after timeskip),September 3rd,X,N/A,"Commodore Brannew is a Marine officer stationed at Marine Headquarters who assigns bounties to criminals. He was first introduced as a lieutenant commander during the Loguetown Arc, but was promoted to commodore during the timeskip.",N/A,https://onepieceql.s3.amazonaws.com/Brannew_Anime_Post_Timeskip.jpg
シャーロット・マルニエ,Charlotte Marnier,Chapter 861; Episode 834,Charlotte Family; Big Mom Pirates,N/A,37,December 20th,N/A,N/A,"Charlotte Marnier is the 13th daughter and 32nd child of the Charlotte Family and the younger twin sister of Mozart. She also is an officer of the Big Mom Pirates and serves as Totto Land's Minister of Yeast (酵母大臣, Kōbo Daijin?), governing over Kibo Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Marnier_Anime.jpg
ブードル,Boodle,Chapter 12; Episode 6,N/A,East Blue (Organ Islands),73 (debut) 75 (after timeskip),January 16th,F,N/A,Boodle is the mayor of Orange Town. He is an ally of the Straw Hat Pirates during the Orange Town Arc.,N/A,https://onepieceql.s3.amazonaws.com/Boodle_Manga_Post_Timeskip.jpg
シャーロット・マーブル,Charlotte Marble,Chapter 894; Episode 869,Charlotte Family; Big Mom Pirates,N/A,25,November 17th,N/A,N/A,"Charlotte Marble is the 24th daughter and 55th child of the Charlotte Family, the second quadruplet sister of Mobile, Myukuru, and Maple, and a Longarm-human hybrid. She is also an officer of the Big Mom Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Marble_Anime.jpg
ココアウィード,Cocoa Weed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cocoa Weed is a village located on Drum Island. It neighbors the village of Bighorn and is south of Gyasta.,N/A,https://onepieceql.s3.amazonaws.com/Cocoa_Weed.jpg
ステリー,Stelly Sterry (WT100),Chapter 586; Episode 500,Goa Kingdom,East Blue (Dawn Island),8 (debut) 20 (after-timeskip),March 12th,S,N/A,"Sterry is the king of Goa Kingdom and the husband of the queen, Sarie Nantokanette.",N/A,https://onepieceql.s3.amazonaws.com/Sterry_Anime.jpg
シャーロット・メリゼ,Charlotte Melise,Chapter 854,Charlotte Family; Big Mom Pirates,N/A,33,N/A,N/A,N/A,Charlotte Melise is the 17th daughter and 40th child of the Charlotte Family and an officer of the Big Mom Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Melise_Manga.jpg
シャーロット・マッシュ,Charlotte Mash,"Chapter 865; Episode 831 (fantasy), Episode 834",Charlotte Family; Big Mom Pirates,N/A,40,December 16th,N/A,N/A,Charlotte Mash is the tenth daughter and 26th child of the Charlotte Family and the middle triplet sister of Moscato and Cornstarch. She is also an officer of the Big Mom Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Mash_Anime.jpg
ブリスコラ,Briscola,Chapter 993; Episode 982,Beasts Pirates,N/A,N/A,N/A,N/A,N/A,"Briscola is a Shinuchi in the Beasts Pirates. During the raid on Onigashima, he was tamed by the power of the Kibi Kibi no Mi and joined the side of the Ninja-Pirate-Mink-Samurai Alliance.",N/A,https://onepieceql.s3.amazonaws.com/Briscola_Anime.jpg
ストロガノフ,N/A,Chapter 908; Episode 886,Levely,N/A,N/A,N/A,N/A,N/A,"Stroganoff is the king of Beef Kingdom (ビーフ王国, Bīfu Ōkoku?) and one of fifty monarchs who took part in the Levely.",N/A,https://onepieceql.s3.amazonaws.com/Stroganoff_Manga.jpg
ブロッカ,Brocca,Chapter 561; Episode 470,Whitebeard Pirates,N/A,N/A,N/A,N/A,N/A,Brocca is an infamous New World pirate captain who was subordinate to Whitebeard.,N/A,https://onepieceql.s3.amazonaws.com/Brocca_Anime.jpg
シャーロット・モンブ,Charlotte Montb,"Chapter 897, Episode 873",Charlotte Family; Big Mom Pirates,N/A,28,N/A,N/A,N/A,Charlotte Montb is the 29th son and 50th child of the Charlotte Family and the youngest triplet brother of Kanten and Kato. He is also an officer of the Big Mom Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Montb_Anime.jpg
ブロントザウルス,Brontosaurus,Chapter 115,N/A,Grand Line (Little Garden),N/A,November 19th,N/A,N/A,Brontosaurus was a dinosaur who lived on Little Garden.,N/A,https://onepieceql.s3.amazonaws.com/Brontosaurus_Manga.jpg
ストロベリー,Strawberry,Chapter 420; Episode 302,Marines,N/A,N/A,January 5th,N/A,N/A,"Vice Admiral Strawberry is a Marine officer, and one of the five vice admirals who led the Buster Call assault on Enies Lobby.",N/A,https://onepieceql.s3.amazonaws.com/Strawberry_Anime.jpg
シャーロット・マスカルポーネ,Charlotte Mascarpone,Chapter 845; Episode 809,Charlotte Family; Big Mom Pirates,N/A,20,February 27th,N/A,N/A,"Charlotte Mascarpone is the 34th son and 62nd child of the Charlotte Family, the older twin brother of Joscarpone, and a Snakeneck-human hybrid. He is also an officer of the Big Mom Pirates and serves as Totto Land's Minister of Tableware (食器大臣, Shokki Daijin?), governing over Cutlery Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Mascarpone_Anime.jpg
シャーロット・モンデ,Charlotte Monder; Charlotte Mondee (WT100),Chapter 854; Episode 822,Charlotte Family; Big Mom Pirates,N/A,47,December 10th,N/A,N/A,"Charlotte Mondée is the second daughter and sixth child of the Charlotte Family, the eldest quadruplet sister of Amande, Hachée, and Effilée, and a snakeneck-human hybrid. She is also an officer of the Big Mom Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Mond%C3%A9e_Anime.jpg
シャーロット・モービル,Charlotte Mobile,Chapter 862; Episode 832,Charlotte Family; Big Mom Pirates,N/A,25,November 17th,N/A,N/A,"Charlotte Mobile is the 31st son and 54th child of the Charlotte Family, the elder quadruplet brother of Marble, Myukuru, and Maple, and a Longarm-human hybrid. He is also an officer of the Big Mom Pirates and serves as Totto Land's Minister of Tasting (味見大臣, Ajimi Daijin?), governing over Futoru Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Mobile_Anime.jpg
ツメゲリ部隊,Kicking Claw Force; Elite Alabastian Royal Guards,Chapter 196; Episode 120,Arabasta Kingdom,N/A,N/A,N/A,N/A,N/A,"The Tsumegeri Guards were four men who drank the Hero Water and attempted to take down Crocodile, but failed and died from the water's side effects shortly after Crocodile refused to even fight them to give them an honorable death.",N/A,https://onepieceql.s3.amazonaws.com/Tsumegeri_Guards_Anime.jpg
びん豪,Bingoh,Chapter 928; Episode 921,N/A,N/A,N/A,N/A,N/A,N/A,Bingo is a former priest and cooper who currently lives in Ebisu Town in Wano Country. He formerly lived in the Flower Capital before losing all his money and being exiled.,N/A,https://onepieceql.s3.amazonaws.com/Bingo_Anime.jpg
シャーロット・モスカート,Charlotte Moscato,Chapter 829; Episode 788,Charlotte Family; Big Mom Pirates,N/A,40 (80 from spent lifespan),December 16th,N/A,N/A,"Charlotte Moscato is the 16th son and 25th child of the Charlotte Family and the eldest triplet brother of Mash and Cornstarch. He also is an officer of the Big Mom Pirates and serves as Totto Land's Minister of Gelato (ジェラート大臣, Jerāto Daijin?), governing over Ice Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Moscato_Anime.jpg
シャーロット・モーツアルト,Charlotte Mozart,"Chapter 862; Episode 831 (fantasy), Episode 832",Charlotte Family; Big Mom Pirates,N/A,37,December 20th,N/A,N/A,Charlotte Mozart is the 12th daughter and 31st child of the Charlotte Family and the elder twin sister of Marnier. She is also an officer of the Big Mom Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Mozart_Anime.jpg
シュトロイゼン,Streusen,Chapter 858; Episode 827,Big Mom Pirates; Rocks Pirates (former),Grand Line,92,April 27th,S,N/A,"""Gourmet Knight"" Streusen is the executive chef of the Big Mom Pirates, and is also the co-founder of the crew alongside Big Mom herself, having accompanied her even during her time at the Rocks Pirates. Prior to his current position, he was the chef of a pirate crew that has since fallen apart.",Kuku Kuku no Mi,https://onepieceql.s3.amazonaws.com/Streusen_Anime.jpg
シャーロット・ノルマンド,Charlotte Normande,Chapter 845; Episode 809,Charlotte Family,N/A,10,N/A,N/A,N/A,Charlotte Normande is the 38th daughter and the 82nd child of the Charlotte Family. She is a hybrid between a human and a dwarf.,N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Normande_Anime.jpg
シャーロット・ヌガー,Charlotte Nougat,Chapter 894; Episode 869,Charlotte Family; Big Mom Pirates,N/A,17,N/A,N/A,N/A,Charlotte Nougat is the 41st son and 75th child of the Charlotte Family and an officer of the Big Mom Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Nougat_Anime.jpg
バブルガム,Bubblegum,Chapter 1029; Episode 1054,Kid Pirates,N/A,N/A,N/A,N/A,N/A,Bubblegum is a member of the Kid Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Bubblegum_Anime.jpg
シャーロット・ノアゼット,Charlotte Noisette,Chapter 862; Episode 832,Charlotte Family; Big Mom Pirates,N/A,41,December 15th,N/A,N/A,"Charlotte Noisette is the 15th son and 24th child of the Charlotte Family and an officer of the Big Mom Pirates. He also serves as Totto Land's Minister of Finance (大蔵大臣, Ōkura Daijin?), governing over Kinko Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Noisette_Anime.jpg
ブッシュ,Bouche,"Chapter 880, Episode 852",WCI 31; Big Mom Pirates,N/A,N/A,N/A,N/A,N/A,"Buche is a member of the WCI 31, serving as the head chef of the first kitchen.",N/A,https://onepieceql.s3.amazonaws.com/Buche_Anime.jpg
ブロギー,Broggy; Brogy (Odex),Chapter 115; Episode 71,Giant Warrior Pirates,Grand Line (Elbaf),158 (debut) 160 (after timeskip),February 1st,F,"100,000,000",Brogy the Red Ogre is a giant from Elbaf and one of the two captains of the Giant Warrior Pirates alongside Dorry. He was an ally of the Straw Hat Pirates during the Little Garden Arc.,N/A,https://onepieceql.s3.amazonaws.com/Brogy_Anime.jpg
ベラミー,Bellamy,Chapter 222; Episode 146,Donquixote Pirates (former); Bellamy Pirates (former),N/A,25 (debut) 27 (after timeskip),August 7th,F,"195,000,000 55,000,000","Bellamy the Hyena is the former captain of the Bellamy Pirates, and a former member of the Donquixote Pirates. After the Dressrosa Arc, he retired from piracy and became a dyer.",Bane Bane no Mi,https://onepieceql.s3.amazonaws.com/Bellamy_Anime_Post_Timeskip.jpg
シャーロット・ミュークル,Charlotte Myukuru,Chapter 845; Episode 809,Charlotte Family; Big Mom Pirates,N/A,25,November 17th,N/A,N/A,"Charlotte Myukuru is the 25th daughter and 56th child of the Charlotte Family, the third quadruplet sister of Mobile, Marble, and Maple, and a longarm-human hybrid. She is also an officer of the Big Mom Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Myukuru_Anime.jpg
ボンバ,N/A,Chapter 652; Episode 589,Marines; G-5,N/A,N/A,N/A,N/A,N/A,Bomba is a member of the Marines G-5 Branch Unit 01. He is a subordinate of Smoker and Tashigi.,N/A,https://onepieceql.s3.amazonaws.com/Bomba_%28Marine%29_Anime.jpg
シャーロット・モンドール,Charlotte Montd'Or (Viz) Charlotte Mont-d'Or (WT100),Chapter 829; Episode 789,Charlotte Family; Big Mom Pirates,Grand Line (On a boat),38,April 23rd (World Book Day),X,"120,000,000","""Scribe"" Charlotte Mont-d'Or is the 19th son and 30th child of the Charlotte Family and an officer of the Big Mom Pirates. He also serves as Totto Land's Minister of Cheese (チーズ大臣, Chīzu Daijin?), governing over Cheese Island.",Buku Buku no Mi,https://onepieceql.s3.amazonaws.com/Charlotte_Mont-d%27Or_Anime.jpg
ボビー・ファンク,Bobby Funk,Chapter 704; Episode 632,Mogaro Kingdom,Grand Line (Mogaro Kingdom),33,February 19th,X,"36,000,000",Bobby Funk is an assassin from the Mogaro Kingdom and Kelly Funk's younger brother. He joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi.,N/A,https://onepieceql.s3.amazonaws.com/Bobby_Funk_Anime.jpg
シャーロット・パンナ,Charlotte Panna,Chapter 897,Charlotte Family; Big Mom Pirates,N/A,21,N/A,N/A,N/A,Charlotte Panna is the 28th daughter and 61st child of the Charlotte Family and an officer of the Big Mom Pirates. She was a member of Charlotte Oven's army to ambush Monkey D. Luffy on Cacao Island.,N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Panna_Manga.jpg
シャーロット・オペラ,Charlotte Opera,Chapter 829; Episode 789,Charlotte Family; Big Mom Pirates,N/A,46,September 29th,N/A,N/A,"Charlotte Opera is the fifth son and the tenth child of the Charlotte Family and is the eldest quintuplet brother of Counter, Cadenza, Cabaletta, and Gala. He also is an officer of the Big Mom Pirates and served as Totto Land's Minister of Whipped Cream (生クリーム大臣, Nama Kurīmu Daijin?, Viz: ""Minister of Cream""), governing over Noko Island. His current status is unknown after having his lifespan removed by a rampaging Big Mom.",Kuri Kuri no Mi,https://onepieceql.s3.amazonaws.com/Charlotte_Opera_Anime.jpg
ちょめ,Chome,Chapter 931; Episode 925,Beasts Pirates; Orochi Oniwabanshu (former); Kurozumi Family (former),Wano Country,14,April 24th,F,N/A,"Chome is a kunoichi and a member of the Beasts Pirates. She previously was a member of the Orochi Oniwabanshu which served the shogun of Wano Country, Kurozumi Orochi.",N/A,https://onepieceql.s3.amazonaws.com/Chome_Anime.jpg
キャメル,Camel,Chapter 695; Episode 621,Blackbeard Pirates; Kuzan,N/A,N/A,N/A,N/A,N/A,Camel is Kuzan's super penguin.,N/A,https://onepieceql.s3.amazonaws.com/Camel_Anime.jpg
シャーロット・ポワール,Charlotte Poire,Chapter 860; Episode 830,Charlotte Family; Big Mom Pirates,N/A,31,October 19th,N/A,N/A,"Charlotte Poire is the 19th daughter and the 43rd child of the Charlotte Family, the younger twin sister of Galette, and an officer of the Big Mom Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Poire_Anime.jpg
ブチ,Butchie Buchi (WT100),Chapter 31; Episode 13,Black Cat Pirates,East Blue,21 (debut) 23 (after timeskip),February 7th,X,"7,000,000 (with Sham)","Buchi is an officer of the Black Cat Pirates. Along with his partner Sham, he is also the protector of the crew's ship, the Bezan Black, and together they are known as the Nyaban Brothers (ニャーバン・兄弟ブラザーズ, Nyāban Burazāzu?).",N/A,https://onepieceql.s3.amazonaws.com/Buchi_Anime.jpg
